# # Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Hyperpolarizability_zzz,(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 2),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 3),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 3),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 4),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 4),(From Linear Fit Derivative Order 3 of Column 4 with respect to Column 3 Polynomial Order 4),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 3 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 4 of Column 4 with respect to Column 3 Polynomial Order 5),(From Linear Fit Derivative Order 1 of Column 4 with respect to Column 3 Polynomial Order 6),(From Linear Fit Derivative Order 2 of Column 4 with respect to Column 3 Polynomial Order 6),(From Linear Fit Derivative Order 3 of Column 4 with respect to Column 3 Polynomial Order 6),(From Linear Fit Derivative Order 4 of Column 4 with respect to Column 3 Polynomial Order 6)
lib_bnnt_M062X_Z-38.FChk,0.0,0.0,-0.0003800000000000002,-1286.938386702836,1.77294915255682,366.9914520291428,-2911.314978592151,1.7728388794853284384,1.7729357309581869818,-366.7594604253387709,1.7729467204436195125,-366.97986555731401379,3501.142055447328656,1.7729476863117972327,-367.0922583497646994,5089.4605571796961683,-14182191.116289424509,1.7729513627611024587,-366.97261533499968683,1455.8284946596404725,29757999.003146079103
lib_bnnt_M062X_Z-37.FChk,0.0,0.0,-0.0003700000000000002,-1286.938368991674,1.769279383919878,366.9622477392263,-2930.36704046931,1.7691788446610859126,1.7692682358246810642,-366.7395662758467877,1.7692770961821109489,-366.9450530482213896,3461.3597630775273883,1.7692770158488163886,-367.04206837876751615,4948.9811403770643636,-13913692.244237015097,1.7692817142575406365,-366.9566096118114501,1741.2997316977735864,27348152.22918115591
lib_bnnt_M062X_Z-36.FChk,0.0,0.0,-0.0003600000000000001,-1286.938351317269,1.765609908332346,366.9328281395323,-2954.258345809737,1.7655188098368433272,1.7656009396326700069,-366.71967212635480415,1.7656078180565786334,-366.91063836205246287,3421.5774707077254737,1.7656068403063244286,-366.99326977699475585,4811.186712294954426,-13645193.372184601317,1.765612239686107316,-366.93786847820905989,2003.0296157372779815,25009728.403419571707
lib_bnnt_M062X_Z-35.FChk,0.0,0.0,-0.0003500000000000002,-1286.938333679527,1.761940728218148,366.9031454537525,-2983.192271922302,1.7618587750126008412,1.7619338423821539688,-366.69977797686282114,1.7619388820887934879,-366.87662149880723508,3381.7951783379246375,1.7619371459048787035,-366.94583569455921532,4676.077272933372288,-13376694.500132194816,1.7619429652257429729,-366.9166257765750933,2241.7323762601766362,22742727.52586142674
lib_bnnt_M062X_Z-34.FChk,0.0,0.0,-0.0003400000000000001,-1286.938316078476,1.758271846501846,366.8731478323253,-3017.128539282496,1.7581987401883582558,1.7582669440731327511,-366.67988382737083763,1.7582702843005260769,-366.8430024584857044,3342.0128859681227231,1.7582679191335350782,-366.89973928157368674,4543.652822292310626,-13108195.628079781037,1.7582739147526753726,-366.89310820699730487,2458.122242748516451,20547149.596506598124
lib_bnnt_M062X_Z-33.FChk,0.0,0.0,-0.0003300000000000002,-1286.938298514142,1.754603266452114,366.8427873251689,-3055.691852849502,1.7545387053641157697,1.7546002447056065526,-366.65998967787885462,1.7546020207135473622,-366.8097812410878726,3302.230593598321887,1.7545991467498486876,-366.85495368815096734,4413.9133603717766174,-12839696.756027374535,1.7546051099118432754,-366.8675353272686314,2652.9134446843201722,18422994.615355204875
lib_bnnt_M062X_Z-32.FChk,0.0,0.0,-0.0003200000000000001,-1286.938280986369,1.750934992052222,366.8120213589357,-3098.094757571957,1.7508786705398731844,1.7509337442795751747,-366.6400955283868711,1.7509340873496279078,-366.77695784661373798,3262.4483012285199726,1.7509308157798731408,-366.81145206440384948,4286.8588871717632305,-12571197.883974960756,1.7509365701883185882,-366.8401195528871867,2826.8202115496319122,16370262.582407131842
lib_bnnt_M062X_Z-31.FChk,0.0,0.0,-0.0003100000000000001,-1286.938263495425,1.747267027482676,366.7808169949104,-3143.083980937485,1.7472186357156306585,1.7472674427950387761,-366.62020137889488788,1.747266480230538636,-366.74453227506330186,3222.6660088587187052,1.7472629135181612768,-366.76920756044512983,4162.489402692276018,-12302699.011922551343,1.7472683129787300691,-366.81106615705626672,2980.5567728264765799,14388953.497662469206
lib_bnnt_M062X_Z-30.FChk,0.0,0.0,-0.0003000000000000001,-1286.938246041045,1.743599377255471,366.7491568590878,-3188.931123936259,1.7435586008913881129,1.7436013402519972775,-366.60030722940290457,1.74359919537805023,-366.71250452643656362,3182.883716488917222,1.7435954275277645682,-366.7281933263876022,4040.8049069333122398,-12034200.139870140475,1.7436003536626856786,-366.78057327068434526,3114.8373579968919846,12479067.361121172857
lib_bnnt_M062X_Z-29.FChk,0.0,0.0,-0.0002900000000000001,-1286.938228623414,1.739932045845441,366.7170425343181,-3233.480072416116,1.7398985660671455871,1.7399354366504507187,-366.58041307991092136,1.739932228813933493,-366.68087460073352352,3143.1014241191159544,1.7399283456402334789,-366.68838251234406184,3921.805399894873215,-11765701.267817731063,1.7399327056741958858,-366.7488318823850769,3230.3761965429113219,10640604.172783263488
lib_bnnt_M062X_Z-28.FChk,0.0,0.0,-0.0002800000000000001,-1286.93821124243,1.736265037830567,366.6844998138292,-3274.255410234838,1.7362385312429030414,1.7362697319903990597,-366.56051893041893805,1.736265576559959148,-366.6496424979541813,3103.3191317493144712,1.7362616559556172651,-366.64974826842730304,3805.4908815769576538,-11497202.395765320194,1.7362653805730964176,-366.71602583847729495,3327.8875179465685232,8873563.932648721173
lib_bnnt_M062X_Z-27.FChk,0.0,0.0,-0.0002700000000000001,-1286.938193898093,1.732598357158135,366.6515789548969,-3308.625429663176,1.7325784964186605157,1.7326042262718423406,-366.54062478092695485,1.7325992346378979978,-366.61880821809853723,3063.5368393795132036,1.7325953468424641347,-366.61226374475012096,3691.8613519795668165,-11228703.523712910782,1.7325983881164713672,-366.68233184298501326,3408.0855516898967261,7177946.6407175650675
lib_bnnt_M062X_Z-26.FChk,0.0,0.0,-0.0002600000000000001,-1286.938176590482,1.728932007260962,366.6183567777675,-3334.005113751197,1.72891846159441797,1.7289389194947805213,-366.52073063143497153,1.7289331990695207655,-366.58837176116659104,3023.7545470097117206,1.7289294069378210886,-366.57590209142530993,3580.9168111026994723,-10960204.651660499914,1.7289317363300759809,-366.64791945763742465,3471.6845272549310737,5553752.296989776789
lib_bnnt_M062X_Z-25.FChk,0.0,0.0,-0.0002500000000000001,-1286.938159319504,1.725265990659939,366.5849363657133,-3348.065154345883,1.7252584267701754442,1.7252738116592136418,-366.50083648194298833,1.7252674658765982542,-366.558333127158343,2983.972254639910453,1.7252638251472340788,-366.5406364585656652,3472.657258946356823,-10691705.779608090501,1.7252654315797597676,-366.61295110186890223,3519.3986741237038758,4000980.9014653739487
lib_bnnt_M062X_Z-24.FChk,0.0,0.0,-0.0002400000000000001,-1286.938142085151,1.721600308804185,366.5514401300681,-3348.91983881119,1.7215983919459328986,1.7216089027651416622,-366.48094233245100498,1.721602031080901187,-366.52869231607379283,2944.1899622701089698,1.7215985906447478494,-366.5064399962839811,3367.0826955105376954,-10423206.907555679632,1.7215994786428892864,-366.57758205281899802,3551.942221778249566,2519632.4541443397065
