# # Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Hyperpolarizability_zzz,Derivative_order_1_number_points_3_step_1_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_3_step_2_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_3_step_3_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_3_step_4_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_3_step_5_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_5_step_1_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_5_step_2_Dipole_Moment_z_div_E_Field_Z,Derivative_order_1_number_points_5_step_3_Dipole_Moment_z_div_E_Field_Z,Derivative_order_2_number_points_3_step_1_Dipole_Moment_z_div_E_Field_Z,Derivative_order_2_number_points_3_step_2_Dipole_Moment_z_div_E_Field_Z,Derivative_order_2_number_points_3_step_3_Dipole_Moment_z_div_E_Field_Z,Derivative_order_2_number_points_3_step_4_Dipole_Moment_z_div_E_Field_Z
lib_bnnt_M062X_Z-35.FChk,0.0,0.0,-0.0003500000000000002,-1286.938333679527,1.761940728218148,366.9031454537525,-2983.192271922302,-366.9030915249963048,-366.90293669409630492,-366.90267507662967855,-366.90231008340880298,-366.90184676958635213,-366.90314313529630566,-366.90314556432547133,-366.9031382656602349,2983.9789599991812636,2984.8392399996295177,2986.8586066665448313,2989.5848306248749742
lib_bnnt_M062X_Z-34.FChk,0.0,0.0,-0.0003400000000000001,-1286.938316078476,1.758271846501846,366.8731478323253,-3017.128539282496,-366.87308830170370427,-366.87290700310370004,-366.87260728670367896,-366.8721912668661996,-366.87166443908366162,-366.87314873457037143,-366.8731455818495326,-366.87313165487312358,3016.6657000001758493,3018.4521900001628003,3020.4431800001032113,3023.005374375106612
lib_bnnt_M062X_Z-33.FChk,0.0,0.0,-0.0003300000000000002,-1286.938298514142,1.754603266452114,366.8427873251689,-3055.691852849502,-366.84272248119630339,-366.84251838679630486,-366.8421846145796786,-366.84172593045880362,-366.84114726252635413,-366.84279051266297045,-366.84278253890880572,-366.84275967717967826,3056.4984000008746559,3056.9914900003159868,3058.5373211112132783,3060.538181875035103
lib_bnnt_M062X_Z-32.FChk,0.0,0.0,-0.0003200000000000001,-1286.938280986369,1.750934992052222,366.8120213589357,-3098.094757571957,-366.81194847189996766,-366.81173115937496965,-366.81137287844999129,-366.81088127223747103,-366.8102676174299823,-366.81202090940830124,-366.81201445508746875,-366.8119824605499908,3098.3034599995225025,3099.1321825000307348,3099.954605555644866,3101.2865431249981023
lib_bnnt_M062X_Z-31.FChk,0.0,0.0,-0.0003100000000000001,-1286.938263495425,1.747267027482676,366.7808169949104,-3143.083980937485,-366.78073983754996934,-366.78051516682496824,-366.78014452131665807,-366.7796382501624701,-366.7790107138399825,-366.78081472779163727,-366.78080747237913475,-366.78076697303610287,3143.4234100001420469,3143.3305074999418924,3143.7411788888430466,3144.0068318750673038
lib_bnnt_M062X_Z-30.FChk,0.0,0.0,-0.0003000000000000001,-1286.938246041045,1.743599377255471,366.7491568590878,-3188.931123936259,-366.74908186174996882,-366.74885554137497104,-366.74848823298332243,-366.74799051104996958,-366.74737558208998323,-366.74915730187496718,-366.74914388481663866,-366.74909673241943267,3188.1717499999609735,3188.4296174998293893,3187.8881188888629217,3187.0324162500037877
lib_bnnt_M062X_Z-29.FChk,0.0,0.0,-0.0002900000000000001,-1286.938228623414,1.739932045845441,366.7170425343181,-3233.480072416116,-366.71697124519997274,-366.71675811352496874,-366.71641318766665682,-366.7159474021874697,-366.71537697660998212,-366.71704228909163895,-366.7170283506374689,-366.71697723329999022,3233.9515599992535637,3232.374822500008202,3230.6914466666531869,3228.3882318749282323
lib_bnnt_M062X_Z-28.FChk,0.0,0.0,-0.0002800000000000001,-1286.93821124243,1.736265037830567,366.6844998138292,-3274.255410234838,-366.68443436529996865,-366.6842498627249695,-366.68394704561665773,-366.68354060046246964,-366.6830476005799816,-366.6844958661583017,-366.68448628347913565,-366.68443341574443595,3273.424420001564707,3272.1382475003256374,3269.4238677778467907,3265.74704562507018
lib_bnnt_M062X_Z-27.FChk,0.0,0.0,-0.0002700000000000001,-1286.938193898093,1.732598357158135,366.6515789548969,-3308.625429663176,-366.65152848024996624,-366.6513796375499711,-366.65114085476665712,-366.65082238274996954,-366.65044102603998236,-366.65157809448329612,-366.65156538914997073,-366.6515164469083241,3307.7525899989195721,3305.4727749997546327,3301.937095555491941,3296.7865387499594714
lib_bnnt_M062X_Z-26.FChk,0.0,0.0,-0.0002600000000000001,-1286.938176590482,1.728932007260962,366.6183567777675,-3334.005113751197,-366.61832490979997357,-366.61822565954996822,-366.61806922308332382,-366.61786632316247006,-366.61762719962998242,-366.6183579932166456,-366.61834543834580094,-366.61830242143610117,3332.9614999996146798,3330.2820699998000562,3325.5728588888800046,3319.1769781249711637
