# Name,E_Field_X,E_Field_Y,E_Field_Z,Energy,Dipole_Moment_z,Polarizability_zz,Polarizability_xz,Hyperpolarizability_zzz
lib_bnnt_M062X_Z+24.FChk,0.0,0.0,0.0002400000000000001,-1286.938017267333,1.545502501765151,365.4632902410767,-1.101341240428155e-12,-3964.58950081179
lib_bnnt_M062X_Z+25.FChk,0.0,0.0,0.0002500000000000001,-1286.938001830655,1.541848065172293,365.4242241002664,1.458833054357456e-12,-3849.704243901999
lib_bnnt_M062X_Z+26.FChk,0.0,0.0,0.0002600000000000001,-1286.937986430409,1.538194013567928,365.3862745670098,-8.1556983388964e-13,-3741.275726880167
lib_bnnt_M062X_Z+27.FChk,0.0,0.0,0.0002700000000000001,-1286.937971066762,1.534540336175148,365.3493786571578,-2.426725487225667e-12,-3638.923027248932
lib_bnnt_M062X_Z+28.FChk,0.0,0.0,0.0002800000000000001,-1286.937955739609,1.530887022734937,365.3134775622383,-3.494982081519993e-13,-3542.267309700668
lib_bnnt_M062X_Z+29.FChk,0.0,0.0,0.0002900000000000001,-1286.937940448973,1.527234063483892,365.2785161493771,1.98507876802978e-13,-3450.938495272711
lib_bnnt_M062X_Z+30.FChk,0.0,0.0,0.0003000000000000001,-1286.937925194868,1.523581449403656,365.2444418716609,2.018385458768535e-13,-3364.58276197695
lib_bnnt_M062X_Z+31.FChk,0.0,0.0,0.0003100000000000001,-1286.937909977391,1.519929171836672,365.211208321859,1.370681346202218e-12,-3282.862584606568
lib_bnnt_M062X_Z+32.FChk,0.0,0.0,0.0003200000000000001,-1286.937894796353,1.516277222627843,365.1787703707071,1.792122006349928e-12,-3205.465097935322
lib_bnnt_M062X_Z+33.FChk,0.0,0.0,0.0003300000000000002,-1286.937879651784,1.512625593928398,365.1470858256436,1.176836406102666e-13,-3132.098751171818
lib_bnnt_M062X_Z+34.FChk,0.0,0.0,0.0003400000000000001,-1286.93786454391,1.508974278499012,365.116115661234,1.225020085371398e-12,-3062.496177240677
lib_bnnt_M062X_Z+35.FChk,0.0,0.0,0.0003500000000000002,-1286.937849472359,1.505323269369643,365.0858238912623,-1.073363620207601e-12,-2996.412384992383
lib_bnnt_M062X_Z+36.FChk,0.0,0.0,0.0003600000000000001,-1286.937834437393,1.501672559935859,365.0561761119546,-1.113109604489182e-12,-2933.627356004225
lib_bnnt_M062X_Z+37.FChk,0.0,0.0,0.0003700000000000002,-1286.937819438864,1.498022143758892,365.0271416457322,2.240430063693566e-13,-2873.941060065835
lib_bnnt_M062X_Z+38.FChk,0.0,0.0,0.0003800000000000002,-1286.937804476876,1.494372015103918,364.998687444378,3.657074643115266e-13,-2817.176274649506
lib_bnnt_M062X_Z+39.FChk,0.0,0.0,0.0003900000000000002,-1286.937789551475,1.490722168174929,364.9707885840038,-7.118750033896504e-13,-2763.174703335501
lib_bnnt_M062X_Z+40.FChk,0.0,0.0,0.0004000000000000002,-1286.937774662516,1.487072597605904,364.9434150230143,-9.57456336436735e-13,-2711.795785498762
lib_bnnt_M062X_Z+41.FChk,0.0,0.0,0.0004100000000000002,-1286.937759810049,1.483423298180343,364.9165442033425,1.159976559250708e-10,-2662.914217669686
lib_bnnt_M062X_Z+42.FChk,0.0,0.0,0.0004200000000000002,-1286.937744994027,1.479774265100855,364.8901639019119,2.193134562844534e-11,-2616.417836548276
lib_bnnt_M062X_Z+43.FChk,0.0,0.0,0.0004300000000000002,-1286.937730214488,1.476125493700082,364.8642085244655,8.670841822322473e-13,-2572.214191035813
lib_bnnt_M062X_Z+44.FChk,0.0,0.0,0.0004400000000000002,-1286.93771547147,1.472476979509999,364.8386979480616,-2.620126338115369e-13,-2530.205538815264
lib_bnnt_M062X_Z+45.FChk,0.0,0.0,0.0004500000000000002,-1286.937700765004,1.468828718320211,364.8135973022953,7.194245199571014e-13,-2490.309130592131
lib_bnnt_M062X_Z+46.FChk,0.0,0.0,0.0004600000000000002,-1286.937686094958,1.465180706375682,364.7888848233012,1.406430527595148e-12,-2452.443417397074
lib_bnnt_M062X_Z+47.FChk,0.0,0.0,0.0004700000000000002,-1286.937671461355,1.461532939454919,364.7645417771284,6.188383139260623e-13,-2416.525208190387
lib_bnnt_M062X_Z+48.FChk,0.0,0.0,0.0004800000000000002,-1286.937656864273,1.457885414267844,364.7405482124769,6.554756737386924e-13,-2382.468152023041
